"Date","Close","Volume"
"2023-05-25T22:00:00.000Z","38.95","714,397,000.00"
"2023-05-29T22:00:00.000Z","40.11","923,401,000.00"
"2023-05-30T22:00:00.000Z","37.83","1,002,580,000.00"
"2023-05-31T22:00:00.000Z","39.77","635,873,000.00"
"2023-06-01T22:00:00.000Z","39.33","482,731,000.00"
"2023-06-04T22:00:00.000Z","39.17","396,094,000.00"
"2023-06-05T22:00:00.000Z","38.65","388,729,000.00"
"2023-06-06T22:00:00.000Z","37.47","511,998,000.00"
"2023-06-07T22:00:00.000Z","38.51","417,772,000.00"
"2023-06-08T22:00:00.000Z","38.77","427,717,000.00"
"2023-06-11T22:00:00.000Z","39.48","388,701,000.00"
"2023-06-12T22:00:00.000Z","41.02","613,208,000.00"
"2023-06-13T22:00:00.000Z","43.00","740,465,000.00"
"2023-06-14T22:00:00.000Z","42.65","568,622,000.00"
"2023-06-15T22:00:00.000Z","42.69","655,709,000.00"
"2023-06-19T22:00:00.000Z","43.81","451,153,000.00"
"2023-06-20T22:00:00.000Z","43.04","551,603,000.00"
"2023-06-21T22:00:00.000Z","43.03","417,737,000.00"
"2023-06-22T22:00:00.000Z","42.21","358,140,000.00"
"2023-06-25T22:00:00.000Z","40.63","594,322,000.00"
"2023-06-26T22:00:00.000Z","41.88","462,175,000.00"
"2023-06-27T22:00:00.000Z","41.12","582,639,000.00"
"2023-06-28T22:00:00.000Z","40.82","380,514,000.00"
"2023-06-29T22:00:00.000Z","42.30","501,148,000.00"
"2023-07-02T22:00:00.000Z","42.41","198,209,000.00"
"2023-07-04T22:00:00.000Z","42.32","323,618,000.00"
"2023-07-05T22:00:00.000Z","42.10","303,582,000.00"
"2023-07-06T22:00:00.000Z","42.50","355,881,000.00"
"2023-07-09T22:00:00.000Z","42.18","353,908,000.00"
"2023-07-10T22:00:00.000Z","42.40","298,244,000.00"
"2023-07-11T22:00:00.000Z","43.90","481,277,000.00"
"2023-07-12T22:00:00.000Z","45.98","478,204,000.00"
"2023-07-13T22:00:00.000Z","45.47","772,075,000.00"
"2023-07-16T22:00:00.000Z","46.46","510,488,000.00"
"2023-07-17T22:00:00.000Z","47.49","569,164,000.00"
"2023-07-18T22:00:00.000Z","47.08","427,502,000.00"
"2023-07-19T22:00:00.000Z","45.52","537,865,000.00"
"2023-07-20T22:00:00.000Z","44.31","963,769,000.00"
"2023-07-23T22:00:00.000Z","44.61","382,516,000.00"
"2023-07-24T22:00:00.000Z","45.68","348,081,000.00"
"2023-07-25T22:00:00.000Z","45.45","364,237,000.00"
"2023-07-26T22:00:00.000Z","45.90","455,976,000.00"
"2023-07-27T22:00:00.000Z","46.75","331,194,000.00"
"2023-07-30T22:00:00.000Z","46.73","251,055,000.00"
"2023-07-31T22:00:00.000Z","46.51","237,858,000.00"
"2023-08-01T22:00:00.000Z","44.27","530,142,000.00"
"2023-08-02T22:00:00.000Z","44.51","324,176,000.00"
"2023-08-03T22:00:00.000Z","44.68","362,666,000.00"
"2023-08-06T22:00:00.000Z","45.42","322,154,000.00"
"2023-08-07T22:00:00.000Z","44.66","353,843,000.00"
"2023-08-08T22:00:00.000Z","42.55","586,449,000.00"
